filename,type
accelgor_0617_01.png,Bug
accelgor_0617_02.jpg,Bug
accelgor_0617_03.png,Bug
accelgor_0617_04.png,Bug
accelgor_0617_05.png,Bug
accelgor_0617_06.png,Bug
accelgor_0617_07.png,Bug
ariados_0168_01.png,Bug
ariados_0168_02.jpg,Bug
ariados_0168_03.png,Bug
ariados_0168_04.png,Bug
ariados_0168_05.png,Bug
ariados_0168_06.png,Bug
ariados_0168_07.png,Bug
ariados_0168_08.png,Bug
ariados_0168_09.png,Bug
ariados_0168_10.png,Bug
ariados_0168_11.png,Bug
ariados_0168_12.png,Bug
ariados_0168_13.png,Bug
ariados_0168_14.png,Bug
beautifly_0267_01.png,Bug
beautifly_0267_02.jpg,Bug
beautifly_0267_03.png,Bug
beautifly_0267_04.png,Bug
beautifly_0267_05.png,Bug
beautifly_0267_06.png,Bug
beautifly_0267_07.png,Bug
beautifly_0267_08.png,Bug
beautifly_0267_09.png,Bug
beautifly_0267_10.png,Bug
beedrill_0015_01.png,Bug
beedrill_0015_02.jpg,Bug
beedrill_0015_03.jpg,Bug
beedrill_0015_04.png,Bug
beedrill_0015_05.png,Bug
beedrill_0015_06.png,Bug
beedrill_0015_07.png,Bug
beedrill_0015_08.png,Bug
beedrill_0015_09.png,Bug
beedrill_0015_10.png,Bug
beedrill_0015_11.png,Bug
beedrill_0015_12.png,Bug
beedrill_0015_13.png,Bug
beedrill_0015_14.png,Bug
blipbug_0824_01.png,Bug
blipbug_0824_02.jpg,Bug
blipbug_0824_03.png,Bug
burmy_0412_01.png,Bug
burmy_0412_02.jpg,Bug
burmy_0412_03.png,Bug
burmy_0412_04.png,Bug
burmy_0412_05.png,Bug
burmy_0412_06.png,Bug
burmy_0412_07.png,Bug
burmy_0412_08.png,Bug
butterfree_0012_01.png,Bug
butterfree_0012_02.jpg,Bug
butterfree_0012_03.png,Bug
butterfree_0012_04.png,Bug
butterfree_0012_05.png,Bug
butterfree_0012_06.png,Bug
butterfree_0012_07.png,Bug
butterfree_0012_08.png,Bug
butterfree_0012_09.png,Bug
butterfree_0012_10.png,Bug
butterfree_0012_11.png,Bug
butterfree_0012_12.png,Bug
butterfree_0012_13.png,Bug
butterfree_0012_14.png,Bug
butterfree_0012_15.png,Bug
butterfree_0012_16.png,Bug
buzzwole_0794_01.png,Bug
buzzwole_0794_02.jpg,Bug
buzzwole_0794_03.png,Bug
buzzwole_0794_04.png,Bug
cascoon_0268_01.png,Bug
cascoon_0268_02.jpg,Bug
cascoon_0268_03.png,Bug
cascoon_0268_04.png,Bug
cascoon_0268_05.png,Bug
cascoon_0268_06.png,Bug
cascoon_0268_07.png,Bug
cascoon_0268_08.png,Bug
cascoon_0268_09.png,Bug
cascoon_0268_10.png,Bug
caterpie_0010_01.png,Bug
caterpie_0010_02.jpg,Bug
caterpie_0010_03.png,Bug
caterpie_0010_04.png,Bug
caterpie_0010_05.png,Bug
caterpie_0010_06.png,Bug
caterpie_0010_07.png,Bug
caterpie_0010_08.png,Bug
caterpie_0010_09.png,Bug
caterpie_0010_10.png,Bug
caterpie_0010_11.png,Bug
caterpie_0010_12.png,Bug
caterpie_0010_13.png,Bug
caterpie_0010_14.png,Bug
caterpie_0010_15.png,Bug
caterpie_0010_16.png,Bug
charjabug_0737_01.png,Bug
charjabug_0737_02.jpg,Bug
charjabug_0737_03.png,Bug
charjabug_0737_04.png,Bug
charjabug_0737_05.png,Bug
combee_0415_01.png,Bug
combee_0415_02.jpg,Bug
combee_0415_03.png,Bug
combee_0415_04.png,Bug
combee_0415_05.png,Bug
combee_0415_06.png,Bug
combee_0415_07.png,Bug
combee_0415_08.png,Bug
combee_0415_09.png,Bug
crustle_0558_01.png,Bug
crustle_0558_02.jpg,Bug
crustle_0558_03.png,Bug
crustle_0558_04.png,Bug
crustle_0558_05.png,Bug
crustle_0558_06.png,Bug
crustle_0558_07.png,Bug
cutiefly_0742_01.png,Bug
cutiefly_0742_02.jpg,Bug
cutiefly_0742_03.png,Bug
cutiefly_0742_04.png,Bug
cutiefly_0742_05.png,Bug
dottler_0825_01.png,Bug
dottler_0825_02.jpg,Bug
dottler_0825_03.png,Bug
durant_0632_01.png,Bug
durant_0632_02.jpg,Bug
durant_0632_03.png,Bug
durant_0632_04.png,Bug
durant_0632_05.png,Bug
durant_0632_06.png,Bug
durant_0632_07.png,Bug
dustox_0269_01.png,Bug
